#,نام بازی,امتیاز,سطح,زمان,کاربر,نام کاربری,مدت(ثانیه),زمان واکنش(میلی ثانیه),جزئیات,پاسخ های درست,پاسخ های غلط,رشته درست و غلط,تنظیمات پیشرفته,پایان یافته,بیشتر
849886,بزرگراه,44250,21,8/6/2023 11:27:55 PM,e500b99d-03c4-4666-94fc-fb08c828dc8e,Koohin,300,"2466,3890,3306,3373,5059,3706,2855,2989,2336,3305,2888,3724,2787,2956,2788,3306,1719,2104,1771,1819,2070,1052,851,919,901,1102,985,985,1136,1001,918,986,1018,918,1501,302,601,2120,200,1536,1053,917,836,1000,1135,718,1336,1269,1002,802,567,484,1018,1820,1336,367,1219,1152,1268,568,468,2688,2303,2121,1386,2170,2587,1988,1503,2203,2337,1436,2587,1436,2187,2104,1887,1886,2136,2121,2053,2004,1786,2103,2036,1921,1786,2387,1886,2103,1903,1835,2087,2053,1803,2554,1587,1919,2371,1636,2504,1603,2120,1769,2120,2037,2036,1870,1970,2053,2137,767,1102,968,918,1019,1185,968,1035,952,1034,901,1269,668,1018,1035,835,1085,1135,968,1002,834,1069,1393,92,1436,1252,968,768,1485,351,1403,901,1219,784,1235,851,1018,751,1319,1102,1001,1085,868,985,801,1018,1335,851,635,651,1736,835,1085,901,1018,1803,2304,1987,2487,1735,718,885,1185,1219,818,935,1285,1,1685,1068,1069,968,985,1251,752,901,1035,1169,1051,985,868,1001,1135,1002,768,1069,918,934,851,551,2037,684,1069","TFS:[FTTTTTFFFTTFTTTFTTTTTTTTTTTTFFTTTTFFTFTTTTTTFFTFTFFFTTFFFTFFFFTTTTFTTFFTTTFFTTFFTTFFTFFTTTFFFTTFFTTTTTFFTFTTTTFTTTTTTTFFFFFTTTTFFFFTTFFTTFTFFTTTTTTFFFTTTTTTTTFFFFTFFTTTTTFFTFTTTTTFFTTTTTFTTTTFTTTTTTFFFTTT] RTS:[2467,3889,3305,3297,5059,3707,2854,2987,2338,3305,2887,3723,2788,2955,2787,3292,1732,2103,1770,1819,2069,1052,850,918,901,1101,985,985,1136,1001,917,985,1017,919,1490,312,601,2106,213,1535,1052,917,834,1001,1135,718,1334,1255,1000,817,567,484,1017,1819,1333,369,1219,1151,1259,576,467,2688,2304,2119,1386,2169,2587,1987,1502,2203,2326,1446,2573,1449,2186,2103,1886,1887,2136,2121,2052,2003,1785,2103,2036,1919,1787,2386,1886,2102,1902,1836,2086,2053,1802,2542,1598,1919,2369,1636,2495,1611,2120,1769,2120,2036,2036,1869,1970,2052,2137,767,1101,968,917,1018,1184,968,1034,951,1035,901,1265,670,1018,1034,835,1085,1134,968,1001,833,1069,1388,96,1436,1251,967,768,1479,356,1402,901,1218,785,1235,851,1018,751,1319,1101,1001,1078,874,984,800,1019,1320,866,634,651,1735,834,1084,901,1019,1802,2303,1986,2480,1739,720,885,1184,1209,827,934,1277,7,1686,1067,1069,968,984,1236,766,901,1034,1169,1052,985,867,1001,1136,1000,768,1067,917,934,852,550,2033,686,1069] HDS:[0e,0O,0e,0O,0O,1O,18,18,1O,1O,1O,1O,18,1O,1O,20,2e,2O,2e,2e,39,3P,3e,38,3e,3e,38,3O,38,3O,3e,3e,38,3e,3X,3O,3e,3H,3e,39,3P,3O,3O,38,3e,3O,3P,3H,31,3f,3O,38,3e,3e,3X,3O,3O,3f,3X,3O,2e,28,2e,2e,2e,28,2G,2O,2O,2O,2W,28,20,2e,2O,2e,2e,2O,2e,2O,2e,28,28,2e,2O,2O,2e,2O,2O,28,2O,28,2O,2e,2O,20,2O,2O,28,2e,2W,28,2e,2O,2e,2e,2e,2e,28,28,3P,3e,3f,3P,3O,38,3P,3P,39,39,3P,39,3X,38,3O,3O,3O,38,3P,38,3e,3O,3e,31,3O,3e,39,3P,38,3X,38,3P,3O,3f,3e,3P,3f,39,3O,39,3f,3P,3H,3P,3f,3O,38,3H,3P,3e,38,3P,3e,3P,38,2e,2e,2e,2O,2W,31,3O,3e,39,31,3P,38,3H,3O,38,3f,3P,39,3P,3H,3f,3e,3O,39,3f,39,39,3f,39,3f,3O,3e,3O,3e,3O,3e,3X,3e,39] CHD:[942gKXa4bYbA46X9caGWM0G8MWgGGgcI2YIfHc11X2A6aKf6IKP8M9cH26OgWcWAbYWGA9a62Qge0IbXLMGIe0fK0e4agPHgYcGY6QH2Q4I2P1Y8fGH2aaf65GW8Wg9c56IPWL4XaXHOAg62cK2G6I4XaX4bM2cA5Gb5YYP1GYG5YK0YcO4Ab6YebQc5WK6gHAWGgHKW56YO209g]",127,77,FTTTTTFFFTTFTTTFTTTTTTTTTTTTFFTTTTFFTFTTTTTTFFTFTFFFTTFFFTFFFFTTTTFTTFFTTTFFTTFFTTFFTFFTTTFFFTTFFTTTTTFFTFTTTTFTTTTTTTFFFFFTTTTFFFFTTFFTTFTFFTTTTTTFFFTTTTTTTTFFFFTFFTTTTTFFTFTTTTTFFTTTTTFTTTTFTTTTTTFFFTTT,,TRUE,
849892,گالری عکس,4500,16,8/6/2023 11:27:02 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,91,"1562,6014,3554,2069,1838,1755,897,1310,2069,899,1237,987,571,1266,1863,912,1180,4862","TFS:[TFTFTFTTTFTTTTFTFT] RTS:[1552,6012,3556,2068,1834,1753,898,1311,2069,898,1236,985,571,1265,1862,911,1178,4861] HDS:[00,02,0K,0M,04,06,0K,06,0O,0Q,04,06,0O,0Q,0C,1K,16,14] CHD:[E318I813331133IE333EEE3]",12,6,TFTFTFTTTFTTTTFTFT,,TRUE,
849890,پازل,1250,10,8/6/2023 11:25:01 PM,274adc4d-657f-48d2-9c96-cc2123b45c93,mr26,92,"16260,21656,47563,20448","TFS:[TFTT] RTS:[16259,21661,47567,20449] HDS:[02345670,06789ABC1D,0EF02345671,0BCDEF012] CHD:[6]",3,1,TFTT,,TRUE,
849885,خوشمزه یاب,2750,24,8/6/2023 11:22:54 PM,274adc4d-657f-48d2-9c96-cc2123b45c93,mr26,15,,TFS:[] RTS:[] HDS:[] CHD:[],0,0,,,TRUE,
849884,مسئول کنترل,650,4,8/6/2023 11:22:41 PM,c41e9738-b0b5-4c85-996d-d6bac3d249b8,arshiya.m,91,"703,854,1457,1089,1223,770,1123,654","TFS:[TTTTTTFT] RTS:[713,857,1473,1095,1237,776,1120,670] HDS:[000,00A,00H,00M,00V,10Z,10i,10r] CHD:[03301525B96439579953AB4B31584440137023B57125AA30999952732875A434]",7,1,TTTTTTFT,,TRUE,
849885,خوشمزه یاب,2750,24,8/6/2023 11:22:39 PM,274adc4d-657f-48d2-9c96-cc2123b45c93,mr26,9,7446,TFS:[T] RTS:[7451] HDS:[1F8G0K0H0LUUjgrrfhsjwTeP$FduKhyf] CHD:[],1,0,T,,FALSE,
849885,خوشمزه یاب,2250,24,8/6/2023 11:22:29 PM,274adc4d-657f-48d2-9c96-cc2123b45c93,mr26,5,3572,TFS:[T] RTS:[3565] HDS:[1E01040300SLifrsLxMUOjMjAqNv#hwPl] CHD:[],1,0,T,,FALSE,
849885,خوشمزه یاب,1750,24,8/6/2023 11:22:24 PM,274adc4d-657f-48d2-9c96-cc2123b45c93,mr26,9,7040,TFS:[F] RTS:[7043] HDS:[03I4202322ETPjdy#rbMr$zUuOvRPM] CHD:[],0,1,F,,FALSE,
849885,خوشمزه یاب,2000,24,8/6/2023 11:22:14 PM,274adc4d-657f-48d2-9c96-cc2123b45c93,mr26,27,25278,TFS:[T] RTS:[25191] HDS:[0DHA1B1819PNfexwrkuPzKsCLwxjgMsSzV] CHD:[],1,0,T,,FALSE,
849885,خوشمزه یاب,1500,24,8/6/2023 11:21:47 PM,274adc4d-657f-48d2-9c96-cc2123b45c93,mr26,4,1916,TFS:[T] RTS:[1917] HDS:[0FHR1O1Q1PLPefquMlzqVtbPNDxSMg] CHD:[],1,0,T,,FALSE,
849885,خوشمزه یاب,1000,24,8/6/2023 11:21:43 PM,274adc4d-657f-48d2-9c96-cc2123b45c93,mr26,6,4265,TFS:[T] RTS:[4267] HDS:[0KHR1P1Q1OLRfgzzdrRekvwM#NMTyS4kf] CHD:[],1,0,T,,FALSE,
849885,خوشمزه یاب,500,24,8/6/2023 11:21:37 PM,274adc4d-657f-48d2-9c96-cc2123b45c93,mr26,13,13402,TFS:[T] RTS:[13404] HDS:[0KGL0G0H0KLVef$wzhTkPkgsTRecfK6Uqt] CHD:[],1,0,T,,FALSE,
849881,مو نزنه,700,3,8/6/2023 11:21:28 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,0,,TFS:[] RTS:[] HDS:[] CHD:[],0,0,,,TRUE,
849881,مو نزنه,700,3,8/6/2023 11:21:25 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,2,2059,TFS:[F] RTS:[2114] HDS:[1324523408] CHD:[],0,1,F,,FALSE,
849881,مو نزنه,750,3,8/6/2023 11:21:20 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,2,2457,TFS:[T] RTS:[2468] HDS:[0200823401] CHD:[],1,0,T,,FALSE,
849881,مو نزنه,650,3,8/6/2023 11:21:15 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,1675,TFS:[T] RTS:[1718] HDS:[0044754862] CHD:[],1,0,T,,FALSE,
849881,مو نزنه,550,3,8/6/2023 11:21:11 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,2,1993,TFS:[T] RTS:[2002] HDS:[0433602813] CHD:[],1,0,T,,FALSE,
849881,مو نزنه,450,3,8/6/2023 11:21:06 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,2,2499,TFS:[T] RTS:[2506] HDS:[0433814760] CHD:[],1,0,T,,FALSE,
849881,مو نزنه,350,3,8/6/2023 11:21:01 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,3,3361,TFS:[T] RTS:[3371] HDS:[0511840376] CHD:[],1,0,T,,FALSE,
849873,خوشمزه یاب,8000,23,8/6/2023 11:20:58 PM,274adc4d-657f-48d2-9c96-cc2123b45c93,mr26,0,,TFS:[] RTS:[] HDS:[] CHD:[],0,0,,,TRUE,
849873,خوشمزه یاب,8000,23,8/6/2023 11:20:57 PM,274adc4d-657f-48d2-9c96-cc2123b45c93,mr26,6,4734,TFS:[T] RTS:[4735] HDS:[3FIOI8IGI0MRfjwyPwkPKUlshFQOb#] CHD:[],1,0,T,,FALSE,
